"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1812.76497451796
"FDW14","OUT017",1586.23199300901
"NCN55","OUT010",1871.91172320909
"FDQ58","OUT017",2592.49967962147
"FDY38","OUT027",5194.48467318657
"FDH56","OUT046",1920.98312562766
"FDL48","OUT018",575.689877512463
"FDC48","OUT027",2795.62199253564
"FDN33","OUT045",1488.03502858086
"FDA36","OUT017",3068.14790051591
"FDT44","OUT017",1986.78512580544
"FDQ56","OUT045",1320.18030535257
"NCC54","OUT019",1848.67181672779
"FDU11","OUT049",2009.2873466972
"DRL59","OUT013",876.31414680554
"FDM24","OUT049",2553.59366088109
"FDI57","OUT045",3090.87489288491
"DRC12","OUT018",2762.31999297567
"NCM42","OUT027",3171.00542244313
"FDA46","OUT010",1140.07808174948
"FDA31","OUT013",2816.34695606055
"NCJ31","OUT035",3869.06196396429
"FDG52","OUT046",803.627486357908
"NCL19","OUT019",390.000860714026
"FDS10","OUT035",3017.86128717983
"FDX22","OUT010",1436.08452303581
"NCF19","OUT035",932.669951151353
"NCE06","OUT046",2534.88587660729
"DRC27","OUT046",3859.60164108946
"FDE21","OUT035",2026.99587125007
"NCR42","OUT019",-1316.6348932059
"FDX51","OUT018",2886.53732637545
"NCR06","OUT018",449.528393402512
"FDU31","OUT027",4961.53717932618
"FDU59","OUT017",2716.40190989337
"FDR03","OUT027",4769.46413252546
"FDS49","OUT027",2770.55159156849
"FDD48","OUT010",-87.5397948808954
"NCF18","OUT017",3122.11695235753
"NCD43","OUT027",3098.61126153573
"NCD54","OUT018",2005.42630688255
"FDY19","OUT010",-56.4105456145968
"NCY54","OUT017",2829.87205978224
"NCL19","OUT018",2048.30024452285
"FDP23","OUT010",1525.16853456514
"FDC26","OUT013",1809.42116057002
"FDR14","OUT010",-1022.82107666655
"NCS41","OUT035",3047.55966753419
"FDF41","OUT035",4044.61029613838
"FDU34","OUT046",1965.04645158427
"DRH11","OUT046",897.552161662567
"FDM03","OUT013",1744.56261844199
"FDS31","OUT017",3051.86074003956
"FDJ20","OUT017",2072.22883097163
"FDV44","OUT027",4508.99936107349
"FDG02","OUT049",3105.35530834586
"FDA09","OUT013",2919.08173628031
"FDT04","OUT013",683.92246992998
"FDL58","OUT019",2247.83207744005
"FDE52","OUT045",1463.53987983154
"FDW12","OUT035",2524.799795982
"FDL51","OUT017",3548.20719326008
"NCY42","OUT027",3706.74654800833
"FDR07","OUT017",1653.24387700885
"FDN40","OUT045",2359.09494380121
"FDB35","OUT027",2961.08248915891
"FDA22","OUT017",2740.34920767639
"NCL06","OUT046",4111.35214097887
"FDI35","OUT013",2924.44574434845
"NCW42","OUT045",3408.09565498402
"NCX06","OUT049",2951.40081456404
"FDC37","OUT027",3187.17732558549
"FDZ14","OUT018",1718.57359963063
"DRG49","OUT049",3936.92546162247
"NCG06","OUT045",3952.34216775429
"DRC36","OUT045",2736.71248893149
"FDV21","OUT019",38.7852519091707
"FDB53","OUT046",2381.18201168708
"DRP47","OUT019",2028.54285971392
"FDA14","OUT013",2385.30496361226
"DRC24","OUT035",2584.69915359518
"FDW21","OUT018",1368.22093046859
"NCH29","OUT046",1531.1350619472
"FDU58","OUT013",3061.87249870277
"FDY27","OUT017",2940.11234558913
"FDV56","OUT035",1950.98719727303
"FDT59","OUT046",3670.02478970319
"FDB23","OUT046",3604.81216197123
"FDR49","OUT045",700.279187899668
"FDB03","OUT010",1919.17221328512
"FDN39","OUT045",2630.89270564102
"FDX02","OUT027",4993.15316407832
"FDQ16","OUT027",3164.44167658865
"FDU35","OUT018",1322.67309063422
"NCT29","OUT013",1950.36975870109
"FDZ27","OUT046",833.737339961126
"FDN57","OUT017",2364.63973435023
"FDA03","OUT018",2123.49841454332
"FDZ36","OUT045",2906.24173634963
"NCU05","OUT013",1348.19742296221
"FDT39","OUT018",2205.58466871815
"FDK60","OUT017",1701.50705544506
"FDZ25","OUT017",2858.35996645821
"FDG12","OUT046",1977.3139083965
"DRB01","OUT019",1106.69079079493
"NCC43","OUT027",5359.88149968166
"FDX13","OUT019",2011.49613519253
"FDM22","OUT049",1017.21201663212
"FDJ03","OUT027",2326.35733048446
"FDU14","OUT018",3677.19650212498
"FDB33","OUT010",657.957575918625
"FDP27","OUT046",3028.38070331277
"FDO38","OUT010",-661.743456487411
"FDE28","OUT027",5139.90120260889
"FDO27","OUT035",1699.88917878227
"DRL23","OUT027",3148.33860159614
"FDS28","OUT046",953.299524038323
"FDX24","OUT013",1540.05726584539
"FDZ02","OUT035",1751.31041728699
"FDL46","OUT045",1773.83338547912
"FDS60","OUT027",4290.43008919593
"NCO06","OUT017",652.130946524015
"FDO16","OUT035",1516.37526509561
"FDC60","OUT049",1526.05425673536
"FDA48","OUT018",3199.10954851256
"FDZ36","OUT027",4435.06168646622
"FDK27","OUT045",1878.86391877524
"FDW23","OUT018",390.350828921602
"FDM14","OUT018",1497.96978452773
"FDM14","OUT013",1775.82512050916
"FDW60","OUT018",2583.39792024774
"FDE21","OUT013",1911.58584407161
"NCM42","OUT035",1860.56238129452
"FDY59","OUT010",-390.307531484286
"DRI49","OUT049",1391.94461275323
"FDT28","OUT019",533.556848056033
"FDQ22","OUT018",411.252842543671
"FDR60","OUT049",1350.53437627724
